kommune;indbyggertal;udg_pr_6_16;school_size;year;faktisk_perf;forventet_perf;borgmester_for;borgmester_efter;skift_borgm;parti_for;parti_efter;skift_parti;skift_blok
Fredensborg Kommune;40504;63890;645;2017;7.7;7.5;Thomas Pedersen;Thomas Pedersen;0;S;S;0;0
Helsingør Kommune;62443;71916;895;2017;7.1;7.4;Benedikte Kiær;Benedikte Kiær;0;C;C;0;0
Hillerød Kommune;50109;67650;646;2017;7.5;7.6;Dorte Meldgaard;Kirsten Jensen;1;C;S;1;1
Hørsholm Kommune;24977;62732;628;2017;8.6;8.4;Morten Slotved;Morten Slotved;0;C;C;0;0
Rudersdal Kommune;56133;62967;548;2017;8.3;8.3;Jens Ive;Jens Ive;0;V;V;0;0
Egedal Kommune;43082;66832;1408;2017;7.6;7.5;Karsten Søndergaard;Karsten Søndergaard;0;V;V;0;0
Frederikssund Kommune;45036;70121;710;2017;6.8;6.9;John Andersen;John Andersen ;0;V;V;0;0
Halsnæs Kommune;31162;71443;674;2017;6.7;6.8;Steen Hasselriis;Steffen Jensen;1;V;S;1;1
Gribskov Kommune;41213;66874;532;2017;6.9;7;Kim Valentin ;Anders Frost;1;V;Lokal;1;1
Bornholms Kommune;39695;65332;404;2017;6.9;6.8;Winni Grosbøll;Winni Grosbøll;0;S;S;0;0
Greve Kommune;49921;65078;563;2017;7.1;7.1;Pernille Beckmann;Pernille Beckmann;0;V;V;0;0
Køge Kommune;60109;64670;465;2017;6.8;6.8;Flemming Christensen;Maria Stærke;1;C;S;1;1
Roskilde Kommune;87015;73569;463;2017;7.5;7.6;Joy Mogensen;Joy Mogensen;0;S;S;0;0
Solrød Kommune;22147;60541;687;2017;7.7;7.3;Niels Hørup;Niels Hørup;0;V;V;0;0
Odsherred Kommune;33023;78095;810;2017;6.3;6.4;Thomas Adelskov;Thomas Adelskov;0;S;S;0;0
Holbæk Kommune;70950;57782;1262;2017;6.4;6.7;Søren Kjærsgaard;Christina Hansen;1;V;S;1;1
Faxe Kommune;35916;60187;869;2017;6.4;6.6;Erik Buhl;Erik Buhl;0;V;V;0;0
Kalundborg Kommune;48736;68008;243;2017;6.3;6.4;Martin Damm;Martin Damm;0;V;V;0;0
Ringsted Kommune;34259;64545;382;2017;6.7;6.7;Henrik Hvidesten;Henrik Hvidesten;0;V;V;0;0
Slagelse Kommune;78828;67278;352;2017;6.4;6.5;Sten Knuth;John Dyrby;1;V;S;1;1
Stevns Kommune;22492;52504;581;2017;6.4;6.6;Mogens Nielsen;Annette Mortensen;1;Lokal;V;1;1
Sorø Kommune;29595;62175;483;2017;7;7;Gert Jørgensen;Gert Jørgensen;0;C;C;0;0
Lejre Kommune;27402;64523;418;2017;7.2;7.3;Carsten Rasmussen;Carsten Rasmussen;0;S;S;0;0
Lolland Kommune;42285;67930;932;2017;5.7;6.1;Holger Rasmussen;Holger Rasmussen;0;S;S;0;0
Næstved Kommune;82581;56342;1283;2017;6.7;6.8;Carsten Rasmussen;Carsten Rasmussen;0;S;S;0;0
Guldborgsund Kommune;61257;62918;371;2017;6.2;6.5;John Brædder;John Brædder;0;Lokal;Lokal;0;0
Vordingborg Kommune;46037;62062;636;2017;6.1;6.6;Michael Larsen;Mikael Smed;1;V;S;1;1
Middelfart Kommune;38093;57878;309;2017;7.3;7.2;Johannes Jensen;Johannes Jensen;0;S;S;0;0
Assens Kommune;41390;63637;318;2017;7.2;6.9;Søren Andersen;Søren Andersen;0;V;V;0;0
Faaborg-Midtfyn Kommune;51376;63786;383;2017;7.1;6.8;Christian Thygesen;Hans Stavnsager;1;V;S;1;1
Kerteminde Kommune;23774;67698;371;2017;7.3;6.9;Hans Luunbjerg;Kasper Olesen;1;V;S;1;1
Nyborg Kommune;32142;57981;590;2017;6.7;6.6;Kenneth Muhs;Kenneth Muhs;0;V;V;0;0
Odense Kommune;200563;60679;464;2017;6.9;6.9;Peter Juel;Peter Juel;0;S;S;0;0
Svendborg Kommune;58510;68065;461;2017;7.2;7.1;Lars Hornemann;Bo Hansen;1;V;S;1;1
Nordfyns Kommune;29446;65067;525;2017;6.7;6.7;Jan Petersen;Jan Petersen;0;S;S;0;0
Langeland Kommune;12578;91634;311;2017;6.1;6.4;Bjarne Nielsen;Tonni Hansen;1;V;F;1;1
Ærø Kommune;6177;60492;444;2017;7.1;7;Jørgen Jørgensen;Ole Petersen;1;S;S;0;0
Haderslev Kommune;56045;63796;434;2017;6.9;6.8;Hans Geil;Hans Geil;0;V;V;0;0
Billund Kommune;26481;67587;393;2017;7.2;6.9;Ib Kristensen;Ib Kristensen;0;V;V;0;0
Sønderborg Kommune;74801;65943;387;2017;6.9;6.8;Erik Lauritzen;Erik Lauritzen;0;S;S;0;0
Tønder Kommune;37928;64215;282;2017;6.3;6.4;Henrik Frandsen;Henrik Frandsen;0;V;V;0;0
Esbjerg Kommune;115905;61940;1246;2017;7.1;6.9;Johnny Søtrup;Jesper Frost;1;V;V;0;0
Fanø Kommune;3345;69995;390;2017;7.7;7.7;Erik Nørreby;Sofie Valbjørn;1;V;Å;1;1
Varde Kommune;50452;66171;298;2017;7;6.8;Erik Buhl;Erik Buhl;0;V;V;0;0
Vejen Kommune;42822;63193;322;2017;6.8;6.7;Egon Fræhr;Egon Fræhr;0;V;V;0;0
Aabenraa Kommune;59003;65407;297;2017;6.8;6.7;Thomas Andresen;Thomas Andresen;0;V;V;0;0
Fredericia Kommune;50868;61538;1025;2017;6.6;6.8;Jacob Bjerregaard ;Jacob Bjerregaard;0;S;S;0;0
Kolding Kommune;92282;59627;430;2017;7.4;7.1;Jørn Pedersen;Jørn Pedersen;0;V;V;0;0
Vejle Kommune;113243;63268;415;2017;7.1;7.1;Jens Christensen;Jens Christensen;0;V;V;0;0
Horsens Kommune;89030;60441;553;2017;6.9;6.8;Peter Sørensen;Peter Sørensen;0;S;S;0;0
Herning Kommune;88386;61841;335;2017;7.3;7;Lars Krarup;Lars Krarup;0;V;V;0;0
Holstebro Kommune;58125;57844;406;2017;7.5;7.2;HC Østerby;HC Østerby;0;S;S;0;0
Lemvig Kommune;20291;65897;239;2017;7.1;7.1;Erik Flyvholm;Erik Flyvholm;0;V;V;0;0
Struer Kommune;21347;66453;312;2017;7.1;7.2;Mads Jakobsen;Niels Lynghøj;1;V;S;1;1
Syddjurs Kommune;42021;67402;383;2017;7.1;7;Claus Wistoft ;Ole Bollesen;1;V;S;1;1
