"";"year";"kommune";"performance";"reference";"faktisk_perf";"forventet_perf";"indbyggertal";"exp";"borgmesterskift";"partiskift";"social";"newyear";"performance_sd"
"16";2018;"Skive Kommune";0,00147173239952042;0,399999999999999;7,3;6,9;46599;66148;0;0;5;"01-01-2018";1,26244112285084
"17";2016;"Roskilde Kommune";0,00349799342900708;0,300000000000001;7,9;7,6;86207;73704;0;0;7;"01-01-2016";3,00055278641658
"18";2017;"Kolding Kommune";0,00192202546388486;0,300000000000001;7,4;7,1;92282;59627;0;0;2;"01-01-2017";1,64869916947224
"19";2018;"Dragør Kommune";0,000966687920639302;0,300000000000001;7,9;7,6;14272;66548;0;0;6;"01-01-2018";0,829217719454909
"20";2019;"Kolding Kommune";0,00128434237254093;0,300000000000001;7,4;7,1;92893;61621;0;0;5;"01-01-2019";1,10169934931366
"21";2016;"Billund Kommune";0,00347999510614947;0,3;7;6,7;26434;64818;0;0;8;"01-01-2016";2,98511395872943
"22";2016;"Herning Kommune";0,00108492139822505;0,3;7,3;7;87593;59118;0;0;9;"01-01-2016";0,930637518496192
"23";2016;"Holstebro Kommune";0,000941277966533079;0,3;7,3;7;57661;54120;0;0;10;"01-01-2016";0,807421249523349
"24";2016;"Langeland Kommune";0,000787063979043943;0,3;6,8;6,5;12547;90670;1;1;11;"01-01-2016";0,675137636287322
"25";2016;"Skanderborg Kommune";0,0031956835830002;0,3;7,7;7,4;59481;60617;0;0;12;"01-01-2016";2,74123364554141
"26";2016;"Varde Kommune";0,00180422908812512;0,3;7,1;6,8;50289;68071;0;0;13;"01-01-2016";1,54765431313128
"27";2017;"Assens Kommune";0,00118516800122224;0,3;7,2;6,9;41390;63637;0;0;3;"01-01-2017";1,01662831009051
"28";2017;"Billund Kommune";0,0018763503225887;0,3;7,2;6,9;26481;67587;0;0;4;"01-01-2017";1,60951937246357
"29";2017;"Favrskov Kommune";0,00243374527276193;0,3;7,5;7,2;47915;56972;0;0;5;"01-01-2017";2,08764862136601
"30";2017;"Faaborg-Midtfyn Kommune";0,00153932827816486;0,3;7,1;6,8;51376;63786;1;1;6;"01-01-2017";1,32042436556792
"31";2017;"Hedensted Kommune";0,00120000573823388;0,3;7,2;6,9;46524;63679;1;1;7;"01-01-2017";1,02935601071029
"32";2017;"Herning Kommune";0,00127764771003467;0,3;7,3;7;88386;61841;0;0;8;"01-01-2017";1,09595671753205
"33";2017;"Holstebro Kommune";0,000967333391324536;0,3;7,5;7,2;58125;57844;0;0;9;"01-01-2017";0,829771399415273
"34";2017;"Mariagerfjord Kommune";0,00191036251104975;0,3;7,1;6,8;42066;66689;0;0;10;"01-01-2017";1,63869477514233
"35";2017;"Viborg Kommune";0,00100611672789541;0,3;7,3;7;96477;59457;1;1;11;"01-01-2017";0,86303945751088
"36";2018;"Assens Kommune";0,00115601229627067;0,3;7;6,7;41328;64838;0;0;7;"01-01-2018";0,9916187629007
